id,Banda,Genre
1,Dimons,Rock
2,,Rock
3,Expansión,Rock
4,“Década 50” ,Rock 
5,Posdata ,Rock 
6,Posdata ,Rock 
7,Posdata ,Rock 
8,Posdata,Rock
9,Posdata ,Rock 
10,Crisis,Heavy-rock
11,Posdata,Rock
12,Crisis,Heavy-rock
13,Posdata,Rock
14,Déficit,Heavy rock
15,Vox Rock,
16,Crisis,Heavy-rock
17,Era Metal,Rock 
18,Déficit,Heavy rock
19,Vox Rock,
20,Crisis,Heavy-rock
21,Engendro,Heavy rock
22,Vox Rock,Rock
23,Déficit,Heavy rock
24,Trama,Rock acústico
25,Distorsión,Heavy-rock
26,Déficit,Heavy rock
27,Deimos ,Rock progresivo
28,Rubén “Huevo” Fernandez ,Solista 
29,Engendro,Heavy rock
30,“Acuarela”,
31,Huanaco Rock,
32,Deimos ,Rock progresivo 
33,Dossier ,
34,Infrarrojo ,
35,“Triss”,"folckore jamaiquino, ska y rock psicodélico"
36,Frecuencia 6.66,
37,“Los mucamos cama adentro”,
38,“Estrato Volcán”,
39,“20/21”,
40,“Privado”,
41,"""Interfasse""",
42,,
43,"""Triss""",
44,“Analgésico”,Pop-Rock
45,"""Autoadhesivo""",Pop-Rock
46,"""Genético""",Pop-Rock
47,“BM 51”,
48,"""La Guardia Civil""",
49,“Estrellas y Gusanos”,
50,Clips,Rock Pesado
51,Interfasse,Pop
52,Vía Taxi,rock-reggae
53,Genético,Pop-rock-pesado
54,“Cenit”,Covers rock nacional + temas propios
55,“Estrellas y Gusanos”,
56,"“Triptome""",Rock-trash metal
57,"""Ray Grass""",pop-Rock
58,7° Regimiento,
59,Deflagración ,
60,Triptome ,
61,San Galo,
62,Deflagración,Hardcore
63,7° Regimiento,Hardcore
64,Triptome,
65,El Error,
66,Lo Parió,
67,Cerebros Atómicos,
68,El Ramah,Rock alternativo
69,Triptome,
70,La Sombra,Covers de rock
71,Problema de Ojo,
72,Cuajo,
73,La Mahara,
74,Deflagración,
75,D.G.I. (Diarrea Gastro Intestinal),Hardcore
76,Juanita La Meona,
77,Niños,Punk-Alternativo
78,Cabeza Dura,Punk
79,L.D.H.A.,Grunge
80,Vacío,Punk
81,D.G.I. (Diarrea Gastro Intestinal),Hardcore
82,El Abismo,Rock and Blues
83,,
84,Niños,Punk-Alternativo
85,Doom Retro Down,Rock Alternativo
86,La Gárgola,Metal
87,Acrópolis,Punk
88,El Abismo,
89,,
90,Niños,Punk-Alternativo
91,Cruxados,Pop y Rock
92,Evil,Metal
93,Horus,Metal
94,La Gárgola,Heavy Metal
95,D.G.I. (Diarrea Gastro Intestinal),Heavy Metal
96,“Mente Oculta”,
97,Jaimes,
98,El Abismo,
99,“SimioNimio”,Rock Alternativo
100,Sol Latino,Salsa Rock
101,Genechen,Heavy
102,Niños,Punk-Alternativo
103,La Sinuosa ,Rock 
104,Biopsia ,
105,Nights Rocket´s,Rock
106,Sion,Heavy Metal
107,Horus,Heavy Metal
108,Tormentor,Heavy Metal
109,Dogo,Heavy Metal
110,La Cervecera Blues Band,Blues
110,Biopsia ,
112,La Cervecera,
113,Niños,Punk-Alternativo
114,Capitán Scarlatta,Covers de Redondos
115,Dogo,Heavy Metal
116,La Sinuosa,Rock 
117,Lóbregos,Hardcore-Metal
118,Biopsia ,
119,Play,"Funk, hardcore y pop-rock en inglés."
120,"Sorcery,",“banda de rock espacial”
121,La Crocketa,Rock y Blues
123,Jerry y La Corrosiva,Covers de rock y blues
124,Sion ,Metal 
125,Night Rockets,Rock
126,Sorcery,
127,Dominó,
128,La Cervecera,
129,Niños,Punk-Alternativo
130,Causa de Acción,
131,Cristo,
132,Big Babousa,Funk y  rock
133,Expresión de Raza,
134,Capitán Scarlatta,
135,Los Sones de Don Juan,Rock y salsa
136,Antigua Dama,Covers de rock 60´y 70´
137,Los Normales,Covers rock nacional
138,Biopsia ,
139,Todo,Electro-rock
140,Las Perras del Demonio (Zapada Furiosa),Covers rock internacional
150,La Kavrona,Rock genital
151,Niños,Punk-Alternativo
152,Biopsia ,
153,Naturae,Reggae y ska
154,Vaderetro,Heavy-rock-pop
155,La Kavrona,
156,Sion ,"Instrumental, ecléctico, con influencias del tango y el jazz pero conservando muchos elementos del metal"
157,Cristo,Heavy Metal
158,La Cervecera,
159,La Phoenix,
160,Niños,Punk-Alternativo
161,La Kavrona,Rock genital-reggae-ska
162,Biopsia,Hardcore
163,Infierno Interior,Heavy Metal
164,Vaderetro,Heavy-rock-pop
165,Cristo ,Heavy Metal
166,Quepachamama,Ska-reggae-punk
167,Palangana,Ska
168,Clemente Bizarro,"Funk, hip hop, rock"
169,El Error (Laudanos),
170,La Phoenix,
171,Barrio Latino,
172,Biopsia ,
173,Soul Family (Familiar),
174,Film,Alternativo
175,Naturae,Reggae-ska
176,Laudanos ,
177,Sr Inglés,Rock-pop – covers rock internaional
178,Tabú,Rock-pop
179,Exiliados de la Sociedad,Punk
180,Mr. Blues,Blues
181,UHLE - Unidos Hasta la Eternidad,Rock-pop
182,Biopsia ,
183,Domino,
184,Soul Family (Familiar),
185,Quepachamama,Ska-reggae-punk
186,Film,Alternativo
187,La Phoenix,Covers Riff y Pappo
188,Límite 33,
189,Biopsia ,
190,Angeles Falsos,
191,Mentores Incautos,
192,Laudanos,
193,Avida Dollars,
194,Dueños de Nada,
195,Dropstar,
196,Polera de Cuero,
197,Sobako,
198,La Supersónica,
199,Legión,
200,Barrio Latino,Salsa Rock
201,Krystallos,
202,Tabú,Rock- pop
203,El Karma,
204,Soul Familyar,
205,Jalo,
206,Reactivos,
207,Domino,
208,La Vinilo,
209,La Palangana,
210,Los Hijos de la Offelia,
211,Borachos,
212,Clemente Bizarro,"funky, el metal y el hip hop"
213,Rolando Liyos,Rock progresivo
214,“Kingston Jam”,Ska-reggae
215,Quepachamama,"reggae, ska, punk, "
216,Cristo ,Metal Extremo
217,Los Ex,
218,Rolando Liyos,Rock progresivo
219,Kingston Jam,ska-reggae
220,Quepachamama,Reggae-ska-rock
221,Biopsia ,
222,Cabeza Dura,Punk 
223,UHLE (Unidos Hasta La Eternidad),Pop-rock
224,70 Balcones,Solista
225,DC ,Solista 
226,Capitán Scarlatta,Covers de Redondos y temas propios
227,"""Brussell""",Covers rock internacional (had rock)
228,Kingston Jam,Ska-reggae
229,Tiembla Delirio Orquesta,"Ska, ska jamaiquino"
230,El Karma,
231,Metanomia,"Jazz, funk, metal"
232,Metanomia,"Jazz, funk, metal"
233,Film,Alternativo
234,Tiembla Delirio Orquesta,
235,Lux Æterna,"metal europeo, metal clásico y hard rock"
236,Destino Final,
237,Biopsia ,
238,Ojos Prestados,
239,La Perra,
240,Rolando Liyos,Rock progresivo
241,Quepachamama,Ska-reggae-punk
242,Tiembla Delirio Orquesta,"Ska, ska jamaiquino"
243,70 Balcones,Rock
245,Los Ex,
246,Cabeza Dura,Punk Psycko Rock
247,Komvulsiones,Punk
248,Krash,Punk melódico
249,Los Ex,
250,Metrópolis,Blues rock
251,Esfinge,
252,La Gárgola,Heavy clásico
253,Lalo Landa,Rock alternativo
254,Lalo Landa,Rock alternativo
255,70 Balcones  ,Rock 
256,Moreno,Rock-Heavy-Blues
257,Hitokiri,Rock Alternativo
258,Babel,Pop- Rock
259,Rolando Liyos,Rock progresivo
260,Nights Rockets,Rock
261,Lalo Landa,Rock alternativo
262,70 Balcones,Rock
263,Moreno,Rock-Heavy-Blues
264,Tiembla Delirio Orquesta,Ska-ska jamaiquino
265,Rolando Liyos,Rock progresivo
266,La Doble Problema,Blues 
267,Biopsia,Power trio
268,Cristo,Heavy Metal - Trash
269,La Sucia Perra,Rock
270,Nimbus,
271,70 Balcones,Rock
272,Moreno,Rock-Blues-Metal
273,Tiembla Delirio Orquesta,
274,Biopsia ,
275,LPS,Pop noise 
276,Rolando Liyos,Rock progresivo
277,Vehemencia,
278,Babel,Pop- Rock
279,Metrópolis Blues Band,Blues
280,Aguilas ,
281,Lalo Landa,Rock alternativo
282,Punto Aparte,Rock fusión
283,Todo Picado,
284,Moreno,Rock Stoner
285,70 Balcones,Rock
286,Hitokiri,Rock Alternativo
287,LPS,Pop noise 
288,La Doble Problema,Blues 
289,Nicaragua en Llamas,
290,Águilas,Rock beach
291,Tiembla Delirio Orquesta,
292,Rolando Liyos,Rock progresivo
293,Tiket,
294,Grima,
295,Astaroth,
296,Cabeza Dura,
297,Kawsay,
298,Kingston Jam,Ska-reggae-rock latino
299,Amerindias,reggae-dub-ska-rock
230,Águilas,Rock beach
231,Hitokiri,Rock Alternativo
232,LPS,Pop noise 
233,70 Balcones,Rock 
234,La Doble Problema,Blues 
235,Eduardo Eduardos,Solista
236,Hitokiri ,
237,Rolando Liyos,Rock progresivo
